DATE_TIME,DC_POWER,AC_POWER
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:00,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:15,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:30,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 0:45,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:00,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:15,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:30,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 1:45,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:00,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
15/5/2020 2:15,0,0
