DATE_TIME,MODULE_TEMPERATURE,IRRADIATION
15/5/2020 0:00,22.8575074,0
15/5/2020 0:15,22.76166787,0
15/5/2020 0:30,22.59230553,0
15/5/2020 0:45,22.36085213,0
15/5/2020 1:00,22.16542264,0
15/5/2020 1:15,21.96857087,0
15/5/2020 1:30,22.35292567,0
15/5/2020 1:45,23.1609192,0
15/5/2020 2:00,23.026113,0
15/5/2020 2:15,23.34322927,0
15/5/2020 2:30,23.63945927,0
15/5/2020 2:45,24.0394858,0
15/5/2020 3:00,24.38413557,0
15/5/2020 3:15,24.35150773,0
15/5/2020 3:30,24.06029653,0
15/5/2020 3:45,23.70979413,0
15/5/2020 4:00,22.58994153,0
15/5/2020 4:15,21.78364253,0
15/5/2020 4:30,21.85252493,0
15/5/2020 4:45,22.306315,0
15/5/2020 5:00,22.55190847,0
15/5/2020 5:15,22.97949207,0
15/5/2020 5:30,23.45238047,0
15/5/2020 5:45,23.09669193,0.000862721
15/5/2020 6:00,22.2067566,0.005886957
15/5/2020 6:15,22.35345867,0.022281607
15/5/2020 6:30,22.893282,0.049409724
15/5/2020 6:45,24.44244393,0.095394454
15/5/2020 7:00,27.18565287,0.141940443
15/5/2020 7:15,28.88847786,0.154712676
15/5/2020 7:30,29.6056438,0.148799153
15/5/2020 7:45,29.54711093,0.144793419
15/5/2020 8:00,31.41254473,0.201638621
15/5/2020 8:15,35.5287108,0.345707653
15/5/2020 8:30,40.3180586,0.405348573
15/5/2020 8:45,39.08195373,0.312426795
15/5/2020 9:00,45.0092326,0.623152649
15/5/2020 9:15,46.6177065,0.344884036
15/5/2020 9:30,39.136326,0.2492484
15/5/2020 9:45,40.93057693,0.541205977
15/5/2020 10:00,52.5477356,0.670675372
15/5/2020 10:15,47.633738,0.572283477
15/5/2020 10:30,49.24972327,0.455148383
15/5/2020 10:45,44.0483256,0.361961654
15/5/2020 11:00,47.6854534,0.636560881
15/5/2020 11:15,50.00698857,0.585787214
15/5/2020 11:30,49.8413636,0.557069383
15/5/2020 11:45,47.8363832,0.467986869
15/5/2020 12:00,49.18358353,0.514962587
15/5/2020 12:15,49.84449267,0.787866029
15/5/2020 12:30,52.35325513,0.649247629
15/5/2020 12:45,50.63123993,0.761243312
15/5/2020 13:00,49.61076771,0.416035101
15/5/2020 13:15,47.01116133,0.489243946
15/5/2020 13:30,46.66986293,0.574561224
15/5/2020 13:45,47.51688413,0.560985624
15/5/2020 14:00,49.80390433,0.735083463
15/5/2020 14:15,55.030613,0.893661491
15/5/2020 14:30,54.51913673,0.466788824
15/5/2020 14:45,47.61819464,0.542138496
15/5/2020 15:00,46.0290812,0.398888543
15/5/2020 15:15,44.28609193,0.447292149
15/5/2020 15:30,46.7442812,0.565196397
15/5/2020 15:45,43.9206158,0.346230693
15/5/2020 16:00,43.33285333,0.35818237
